Time,w1,w2,PE
8.179999,-0.54445,-0.3846803,-77.87926
8.2,-0.5312474,-0.3727036,-72.80205
8.22,-0.5175987,-0.360364,-67.62714
8.24,-0.5036171,-0.3477131,-62.3928
8.26,-0.4893093,-0.3347918,-57.13486
8.28,-0.4747418,-0.3216267,-51.88705
8.3,-0.459908,-0.3082584,-46.68008
8.32,-0.4449144,-0.2947312,-41.54235
8.34,-0.4297343,-0.2810692,-36.499
8.36,-0.4144212,-0.2672973,-31.57281
8.38,-0.3989948,-0.2534173,-26.7835
8.4,-0.3834886,-0.2394898,-22.14833
8.42,-0.3679357,-0.2255182,-17.68213
8.44,-0.3523495,-0.2115224,-13.39721
8.46,-0.3367168,-0.1975175,-9.303456
8.48,-0.3211107,-0.1835276,-5.409245
8.5,-0.3055112,-0.1695626,-1.721094
8.52,-0.2899317,-0.1556343,1.756812
8.54,-0.2743922,-0.1417284,5.020931
8.559999,-0.2588792,-0.1278833,8.068995
8.58,-0.2434129,-0.1140782,10.90002
8.599999,-0.2280065,-0.1003254,13.51356
8.62,-0.2126867,-0.08662598,15.90995
8.639999,-0.1974335,-0.0729831,18.09062
8.66,-0.1822534,-0.059381,20.05686
8.679999,-0.1670867,-0.045838,21.81009
8.7,-0.1519733,-0.03232495,23.35176
8.72,-0.1368998,-0.01884686,24.68377
8.74,-0.1218995,-0.005430352,25.80745
8.76,-0.1069725,0.007991981,26.7248
8.78,-0.09206548,0.02136771,27.43697
8.8,-0.0771651,0.03474011,27.9454
8.82,-0.062298,0.04808005,28.25038
8.84,-0.04749082,0.06142997,28.35306
8.86,-0.03270362,0.07479072,28.25343
8.88,-0.01788313,0.08816478,27.95184
8.9,-0.003082609,0.1015522,27.44727
8.92,0.01171125,0.1149612,26.73934
8.94,0.02650511,0.1284285,25.8273
8.96,0.0413256,0.141909,24.70956
8.98,0.05613944,0.1554437,23.38513
9.02,0.08588695,0.1826596,20.10981
9.04,0.1007674,0.1963457,18.15587
9.059999,0.1156544,0.2100677,15.98924
9.08,0.1305815,0.223847,13.60918
9.099999,0.1455551,0.2376846,11.01488
9.12,0.1605154,0.2515589,8.205889
9.139999,0.175489,0.2654897,5.182944
9.16,0.1904626,0.2794572,1.947138
9.179999,0.2054562,0.2934454,-1.499138
9.2,0.2204165,0.3074603,-5.152796
9.22,0.2353436,0.3214644,-9.008604
9.24,0.2502106,0.3354651,-13.06045
9.26,0.2650378,0.3494234,-17.29984
9.28,0.2797717,0.3633359,-21.7171
9.3,0.2943792,0.3771827,-26.2999
9.32,0.3088801,0.3909413,-31.03363
9.34,0.3232279,0.4045691,-35.90173
9.36,0.3374026,0.4180597,-40.88501
9.38,0.3513842,0.4313547,-45.96127
9.4,0.3650861,0.4444416,-51.10615
9.42,0.3785084,0.4572898,-56.2921
9.44,0.3916179,0.4698499,-61.48954
9.46,0.4043611,0.4820788,-66.66595
9.48,0.4167248,0.4939632,-71.78709
9.5,0.4286558,0.5054347,-76.81623
9.52,0.440134,0.5164719,-81.71546
9.54,0.4510729,0.5270263,-86.44546
9.559999,0.4614659,0.5370647,-90.96615
9.58,0.4712797,0.5465406,-95.23721
9.599999,0.4805075,0.5554389,-99.21891
9.62,0.4890563,0.5637063,-102.8723
9.639999,0.4969525,0.5713163,-106.1603
9.66,0.5041364,0.5782356,-109.048
9.679999,0.5105879,0.5844507,-111.5033
9.7,0.5162804,0.5899351,-113.4978
9.719999,0.5211806,0.5946706,-115.0068
9.74,0.5253085,0.5986304,-116.0105
9.76,0.5286641,0.6018178,-116.4941
9.78,0.5312141,0.6042346,-116.4476
9.8,0.5329918,0.6058825,-115.8666
9.82,0.5339572,0.6067464,-114.7522
9.84,0.5341436,0.6068662,-113.1107
9.86,0.533591,0.6062403,-110.9539
9.88,0.5322927,0.6048905,-108.2982
9.9,0.5302621,0.6028115,-105.1647
9.92,0.5275323,0.6000602,-101.579
9.94,0.5241434,0.5966713,-97.56999
9.96,0.5201087,0.5926399,-93.16956
9.98,0.5155281,0.5880293,-88.41238
10.02,0.5046624,0.5772136,-77.97373
10.04,0.4984772,0.571075,-72.36834
10.06,0.4918393,0.564497,-66.55678
10.08,0.4848219,0.5575294,-60.57711
10.1,0.4774449,0.5502257,-54.46646
10.12,0.4697284,0.5426058,-48.26043
10.14,0.4617589,0.5346995,-41.99354
10.16,0.4535497,0.5265735,-35.69802
10.18,0.4451807,0.5182512,-29.40402
10.2,0.436592,0.5097557,-23.13913
10.22,0.4279034,0.5011237,-16.92936
10.24,0.4190617,0.4923819,-10.79751
10.26,0.4101867,0.4835935,-4.764815
10.28,0.4012585,0.4747484,1.15092
10.3,0.3923369,0.4659001,6.933786
10.32,0.383422,0.4570617,12.57039
10.34,0.3745603,0.4482633,18.04932
10.36,0.3657519,0.4395215,23.3613
10.38,0.3570167,0.4308296,28.49895
10.4,0.3483814,0.4222575,33.45659
10.42,0.3398593,0.4137987,38.23025
10.44,0.331477,0.4054696,42.81744
10.46,0.3232545,0.3972737,47.2172
10.48,0.3151985,0.3892377,51.42941
10.5,0.3073155,0.3813547,55.4552
10.52,0.2996123,0.3736449,59.29638
10.54,0.2921088,0.3661281,62.95564
10.56,0.2848051,0.3587877,66.43652
10.58,0.2777011,0.3516638,69.74274
10.6,0.2708102,0.3447396,72.87877
10.62,0.2641323,0.3380117,75.84933
10.64,0.2577008,0.3315003,78.65904
10.66,0.2514757,0.3251753,81.31336
10.68,0.2454902,0.3190767,83.8173
10.7,0.2397245,0.3131977,86.17639
10.72,0.2341917,0.3075485,88.39576
10.74,0.2288854,0.3020924,90.48095
10.76,0.2238254,0.2968593,92.43695
10.78,0.2190051,0.2918558,94.26902
10.8,0.2143978,0.2870854,95.98227
10.82,0.2100635,0.2825215,97.58151
10.84,0.205909,0.2781705,99.07147
10.86,0.2020008,0.2740426,100.4566
10.88,0.1983256,0.2701244,101.7411
10.9,0.1948968,0.2664326,102.9293
10.92,0.1916877,0.2629572,104.025
10.94,0.1887183,0.2596948,105.0318
10.96,0.1859685,0.2566289,105.9533
10.98,0.1834252,0.2537893,106.7924
11.02,0.1790377,0.2487293,108.2359
11.04,0.1771868,0.2465122,108.8454
11.06,0.1755556,0.2445048,109.3831
11.08,0.1741641,0.2427205,109.8512
11.1,0.1729856,0.2411193,110.2514
11.12,0.1720535,0.2397378,110.5853
11.14,0.1713145,0.2385493,110.8543
11.16,0.1707952,0.2375773,111.0594
11.18,0.170469,0.236805,111.2016
11.2,0.1703824,0.2362291,111.2814
11.22,0.1704956,0.2358928,111.2994
11.24,0.1708484,0.2357464,111.2557
11.26,0.1714011,0.2357863,111.1504
11.28,0.1721867,0.2360393,110.9831
11.3,0.1731654,0.2365054,110.7534
11.32,0.1743505,0.2371678,110.4607
11.34,0.175762,0.2380067,110.104
11.36,0.1773998,0.2390553,109.6822
11.38,0.1792441,0.2403203,109.1941
11.4,0.1813014,0.2417984,108.638
11.42,0.183585,0.2434695,108.0121
11.44,0.186095,0.2453504,107.3144
11.46,0.1887848,0.247421,106.5428
11.48,0.191721,0.2497313,105.6947
11.5,0.1948569,0.252228,104.7675
11.52,0.1982258,0.2549444,103.7583
11.54,0.2017811,0.2578739,102.664
11.56,0.2055561,0.2610164,101.4814
11.58,0.2095708,0.2643587,100.2068
11.6,0.2137986,0.2679406,98.83667
11.62,0.2182594,0.2717024,97.36694
11.64,0.2229133,0.2756838,95.79355
11.66,0.2277935,0.2798849,94.11224
11.68,0.2328868,0.2843191,92.31872
11.7,0.2381798,0.2889397,90.40827
11.72,0.2437059,0.2937666,88.37637
11.74,0.249445,0.2988067,86.21808
11.76,0.2553772,0.3040664,83.92882
11.78,0.2615624,0.3095326,81.50382
11.8,0.2678941,0.3151985,78.93771
11.82,0.2744454,0.3210707,76.22615
11.84,0.2812032,0.3271294,73.36439
11.86,0.2881141,0.3333679,70.34798
11.88,0.295258,0.3397994,67.17271
11.9,0.3025551,0.346404,63.83461
11.92,0.3100053,0.3532151,60.33022
11.94,0.3176286,0.3601659,56.65606
11.96,0.325425,0.3672899,52.80985
11.98,0.3333479,0.3745537,48.78926
12.02,0.3496065,0.389514,40.22222
12.04,0.3578623,0.3971772,35.67577
12.06,0.3662113,0.4049137,30.95621
12.08,0.3746136,0.4127367,26.06655
12.1,0.3831091,0.4206263,21.01165
12.12,0.3916445,0.4285493,15.79677
12.14,0.4001666,0.4365188,10.42988
12.16,0.4086355,0.4444683,4.919933
12.18,0.4171176,0.4524045,-0.7213942
12.2,0.4255199,0.4602941,-6.481336
12.22,0.433789,0.4681238,-12.34469
12.24,0.4419649,0.4758337,-18.29415
12.26,0.4499677,0.4834237,-24.31018
12.28,0.4577974,0.4908406,-30.37143
12.3,0.4654007,0.4980511,-36.45414
12.32,0.4727378,0.5050153,-42.53276
12.34,0.4797951,0.5117065,-48.5793
12.36,0.4864797,0.5180981,-54.56444
12.38,0.4927914,0.52417,-60.45716
12.4,0.4987435,0.529816,-66.22532
12.42,0.5042562,0.535069,-71.83568
12.44,0.509263,0.5398694,-77.25441
12.46,0.5137904,0.5441837,-82.44756
12.48,0.5177585,0.5479987,-87.38133
12.5,0.521154,0.5512411,-92.02264
12.52,0.5239636,0.5539109,-96.33955
12.54,0.5261208,0.5559815,-100.302
12.56,0.5276122,0.5573863,-103.8819
12.58,0.5283978,0.558152,-107.0539
12.6,0.5285177,0.5582319,-109.7959
12.62,0.5278918,0.5576327,-112.0895
12.64,0.5265469,0.5563077,-113.9199
12.66,0.524443,0.5542438,-115.2768
12.68,0.5215801,0.5514741,-116.1545
12.7,0.5179582,0.5479654,-116.5516
12.72,0.513604,0.5437443,-116.4715
12.74,0.508504,0.5388175,-115.9224
12.76,0.5026451,0.5332049,-114.9167
12.78,0.4961203,0.5268865,-113.4712
12.8,0.4888765,0.5198757,-111.6065
